window_day,specific_yield,iteration,residual_abs_m_per_s,residual_ratio_to_previous
0.0001,0.02,1,7.718727155303473e-14,
0.0001,0.02,2,1.0277395265856377e-16,0.0013314883476344757
0.0001,0.02,3,2.3068725564232793e-20,0.00022446081879201287
0.0001,0.15,1,2.6638446846264738e-14,
0.0001,0.15,2,2.3219927791065243e-19,0.000008716697307869193
0.0001,0.3,1,1.842051241146189e-14,
0.0001,0.3,2,4.2664675902226265e-20,0.0000023161503300895585
0.0004,0.02,1,2.4433635836999183e-13,
0.0004,0.02,2,1.1717844449257456e-15,0.004795784191689329
0.0004,0.02,3,4.341887690530067e-18,0.003705363822955686
0.0004,0.15,1,6.291807776609055e-14,
0.0004,0.15,2,7.963595393986382e-17,0.0012657086288606117
0.0004,0.15,3,1.1503902363454465e-20,0.00014445613814259708
0.0004,0.3,1,3.304751797244317e-14,
0.0004,0.3,2,1.6806933803623935e-18,0.00005085687166472979
0.0016,0.02,1,7.468723206732983e-13,
0.0016,0.02,2,1.044392864704977e-14,0.013983552955389573
0.0016,0.02,3,8.98452740433456e-16,0.08602631929003589
0.0016,0.02,4,1.6795026033330384e-19,0.00018693277094605635
0.0016,0.15,1,2.2633175496767871e-13,
0.0016,0.15,2,8.719468082106316e-16,0.0038525164457596764
0.0016,0.15,3,2.8394244132255054e-18,0.0032564192981592984
0.0016,0.3,1,1.3620322468566693e-13,
0.0016,0.3,2,2.85748729963515e-16,0.0020979586248634917
0.0016,0.3,3,3.6069731319156735e-19,0.001262288421151065
