window_day,window_seconds,specific_yield,loose_constant_status,loose_constant_residual_m_per_s,loose_constant_residual_over_tol,predictor_affine_status,predictor_affine_residual_m_per_s,predictor_affine_residual_over_tol,affine_to_constant_residual_ratio,strong_status,strong_iterations,strong_residual_m_per_s,strong_head_m,strong_operational_swap_window_evaluations,loose_constant_head_difference_from_strong_m,predictor_affine_head_difference_from_strong_m,loose_constant_relative_groundwater_flux_error,predictor_affine_relative_groundwater_flux_error,loose_constant_integrated_exchange_difference_m,predictor_affine_integrated_exchange_difference_m
0.000025,2.16,0.02,SWAP_INITIALIZE_FAIL,,,SWAP_INITIALIZE_FAIL,,,,SWAP_INITIALIZE_FAIL,,,,,,,,,,
0.000025,2.16,0.15,SWAP_INITIALIZE_FAIL,,,SWAP_INITIALIZE_FAIL,,,,SWAP_INITIALIZE_FAIL,,,,,,,,,,
0.000025,2.16,0.3,SWAP_INITIALIZE_FAIL,,,SWAP_INITIALIZE_FAIL,,,,SWAP_INITIALIZE_FAIL,,,,,,,,,,
0.0001,8.64,0.02,OK,-4.0540599487789436e-14,40.540599487789436,OK,-7.718727155303473e-14,77.18727155303472,1.9039499299038,CONVERGED,3,2.3068725564232793e-20,-0.714999961329066,4,6.165290500348419e-12,1.3049894498351478e-11,0.2660153733809042,0.5064443320875265,3.500622569596601e-13,6.664541363221587e-13
0.0001,8.64,0.15,OK,-1.529124955182364e-14,15.291249551823638,OK,-2.6638446846264738e-14,26.638446846264735,1.7420712909029614,CONVERGED,2,2.3219927791065243e-19,-0.7149999677331765,3,-4.979350265443827e-13,5.895284260759581e-14,0.12034024902783243,0.20961175425035564,1.3213616589791135e-13,2.301581869534885e-13
0.0001,8.64,0.3,OK,-1.1183681356781071e-14,11.18368135678107,OK,-1.842051241146189e-14,18.42051241146189,1.6470884518086584,CONVERGED,2,4.2664675902226265e-20,-0.7149999687764176,3,-1.8096635301390052e-13,1.0880185641326534e-14,0.09094803421503272,0.14978890614875645,9.663403688353612e-14,1.5915359585783055e-13
0.0004,34.56,0.02,OK,-1.2872964081970043e-13,128.72964081970042,OK,-2.4433635836999183e-13,244.3363583699918,1.8980582623718412,CONVERGED,3,4.341887690530067e-18,-0.7149999358702104,4,7.839529025943648e-11,1.636684121564258e-10,0.5573800252322633,1.0576911930179986,4.4393120068875185e-12,8.424093078662766e-12
0.0004,34.56,0.15,OK,-3.830955684806164e-14,38.30955684806164,OK,-6.291807776609055e-14,62.91807776609055,1.6423598428879773,CONVERGED,3,1.1503902363454465e-20,-0.7149999609611868,4,6.270872709990272e-12,1.1079692718851675e-11,0.2729097430502314,0.4481952618623016,1.3232015261266383e-12,2.17307248862042e-12
0.0004,34.56,0.3,OK,-2.3387979499850195e-14,23.387979499850193,OK,-3.304751797244317e-14,33.04751797244317,1.413012952771523,CONVERGED,2,1.6806933803623935e-18,-0.714999965106685,3,-7.861489237370733e-13,2.3525625891807067e-13,0.1865462518513151,0.26354894289995984,8.084421354581653e-13,1.1421514400922206e-12
0.0016,138.24,0.02,OK,-3.88772504476638e-13,388.772504476638,OK,-7.468723206732983e-13,746.8723206732982,1.9211037613854174,CONVERGED,4,1.6795026033330384e-19,-0.7149998327268995,5,1.0553798945878157e-9,2.0414614443353685e-9,0.8289983979870875,1.592508291179005,5.3338627337140564e-11,1.0246365551580539e-10
0.0016,138.24,0.15,OK,-1.3103851793183468e-13,131.03851793183466,OK,-2.2633175496767871e-13,226.3317549676787,1.7272154671759559,CONVERGED,3,2.8394244132255054e-18,-0.7149999245311586,4,8.434419829228545e-11,1.574470553933338e-10,0.6217173283981409,1.0736746611933854,1.8082765373961253e-11,3.122802936239566e-11
0.0016,138.24,0.3,OK,-8.611907425275016e-14,86.11907425275015,OK,-1.3620322468566693e-13,136.20322468566692,1.5815686114544754,CONVERGED,3,3.6069731319156735e-19,-0.7149999406467814,4,3.052869068653763e-11,5.1496362729608336e-11,0.5194578116617903,0.8215028951047174,1.1893428952802765e-11,1.880900835082855e-11
