baseline_id,C,FP_status,FP_work,AITKEN_status,AITKEN_work,SECANT_COLD_status,SECANT_COLD_work,U_A_status,U_A_work,ORACLE_JR_status,ORACLE_JR_work,DeltaW_uA_vs_secant,DeltaW_oracle_vs_secant
B1,0.1,CONVERGED,6,CONVERGED,3,CONVERGED,3,CONVERGED,2,CONVERGED,2,1,1
B1,0.5,CONVERGED,15,CONVERGED,3,CONVERGED,3,CONVERGED,2,CONVERGED,2,1,1
B1,0.9,MAX_EVALS,20,CONVERGED,3,CONVERGED,3,CONVERGED,2,CONVERGED,2,1,1
B1,1.1,SWAP_DOMAIN_FAIL,16,CONVERGED,3,CONVERGED,3,CONVERGED,2,CONVERGED,2,1,1
B1,1.5,SWAP_DOMAIN_FAIL,6,CONVERGED,3,CONVERGED,3,CONVERGED,2,CONVERGED,2,1,1
B1,2.0,SWAP_DOMAIN_FAIL,4,CONVERGED,3,CONVERGED,3,CONVERGED,2,CONVERGED,2,1,1
B2,0.1,CONVERGED,6,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B2,0.5,CONVERGED,15,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B2,0.9,MAX_EVALS,20,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B2,1.1,SWAP_DOMAIN_FAIL,14,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B2,1.5,SWAP_DOMAIN_FAIL,6,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B2,2.0,SWAP_DOMAIN_FAIL,5,CONVERGED,5,CONVERGED,5,CONVERGED,3,CONVERGED,3,2,2
B3,0.1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,,
B3,0.5,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,,
B3,0.9,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,,
B3,1.1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,,
B3,1.5,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,,
B3,2.0,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,SWAP_DOMAIN_FAIL,1,,
B4,0.1,CONVERGED,6,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B4,0.5,CONVERGED,14,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B4,0.9,MAX_EVALS,20,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B4,1.1,SWAP_DOMAIN_FAIL,8,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
B4,1.5,SWAP_DOMAIN_FAIL,6,CONVERGED,3,CONVERGED,3,CONVERGED,3,CONVERGED,3,0,0
B4,2.0,SWAP_DOMAIN_FAIL,4,CONVERGED,4,CONVERGED,4,CONVERGED,3,CONVERGED,3,1,1
