initial_h0_cm,predictor_qbot_cm_per_day,predictor_status,predictor_ready,reference_head_m,predictor_u,predictor_q_u_cm_per_day,predictor_storage_change_native,predictor_mass_residual_native,max_symmetric_ready_delta_h_m,qualifies_for_e6b,transaction_result_status,transaction_attempts,transaction_retries,solver_rejections,temporal_rejections
-150,0.000001,0,true,-1.4649998441275351,0.00006415122646543453,-8.966298878967287e-7,0,0,0.00001,false,,,,,
-150,0.0001,0,true,-1.4649843903151898,0.00006406163502516602,-0.00008953368148133028,1.1102230246251565e-16,1.1102230246251565e-16,,false,,,,,
-150,0.01,104,false,,,,,,,false,2,9,8,5,4
-150,0.1,104,false,,,,,,,false,2,9,8,4,5
-150,1,104,false,,,,,,,false,2,9,8,4,5
-75,0.000001,0,true,-0.7149999628383428,0.0002686106425118591,-7.642189938101982e-7,-2.220446049250313e-16,-2.220446049250313e-16,0.000001,false,,,,,
-75,0.0001,0,true,-0.7149962514779271,0.0002665743709457589,-0.00007573810169146028,-2.220446049250313e-16,-2.220446049250313e-16,,false,,,,,
-75,0.01,104,false,,,,,,,false,2,9,8,4,5
-75,0.1,104,false,,,,,,,false,2,9,8,3,6
-75,1,104,false,,,,,,,false,2,9,8,4,5
-25,0.000001,0,true,-0.21499998955506028,0.0009019333949359784,-5.307962364530914e-7,0,0,0.000001,false,,,,,
-25,0.0001,0,true,-0.21499888379220009,0.0008673864892015483,-0.000048656462370846075,-2.220446049250313e-16,-2.220446049250313e-16,,false,,,,,
-25,0.01,104,false,,,,,,,false,2,9,8,4,5
-25,0.1,104,false,,,,,,,false,2,9,8,4,5
-25,1,104,false,,,,,,,false,2,9,8,4,5
-10,0.000001,0,true,-0.06499999343237929,0.0011583362454933817,-5.188705018107506e-7,0,0,,false,,,,,
-10,0.0001,0,true,-0.06499925819593241,0.0011043509907351615,-0.00004473777418703034,0,0,0.000001,false,,,,,
-10,0.01,104,false,,,,,,,false,2,9,8,3,6
-10,0.1,104,false,,,,,,,false,2,9,8,5,4
-10,1,104,false,,,,,,,false,2,9,8,4,5
