record_type,baseline_id,sequence_index,scale,centered_available,u_FD,J_R,J_S,J_B,response_balance_closure,signal,signal_floor,q_minus_cm_per_day,q_plus_cm_per_day,h_minus_m,h_plus_m
flux_inverse_response,B1,0,0.0001,true,0.00003402859613797642,,,,,5.877409670063116e-12,5.684341886080802e-14,9.999e-7,0.0000010001,-0.714999970616569,-0.7149999706106915
flux_inverse_response,B1,1,0.0003,true,0.00003402945321129254,,,,,1.76317849209795e-11,5.684341886080802e-14,9.997e-7,0.0000010003,-0.7149999706224468,-0.714999970604815
flux_inverse_response,B1,2,0.001,true,0.000034029753197149516,,,,,5.877209829918684e-11,5.684341886080802e-14,9.989999999999999e-7,0.0000010009999999999998,-0.7149999706430162,-0.7149999705842441
flux_inverse_response,B1,3,0.003,true,0.00003402938892929263,,,,,1.7631818227670237e-10,5.684341886080802e-14,9.97e-7,0.0000010029999999999998,-0.7149999707017899,-0.7149999705254717
flux_inverse_response,B1,4,0.01,true,0.00003402936750201522,,,,,5.877276443300161e-10,5.684341886080802e-14,9.9e-7,0.0000010099999999999999,-0.7149999709074946,-0.7149999703197669
flux_inverse_response,B1,5,0.03,true,0.00003402936321656307,,,,,1.7631831550346533e-9,5.684341886080802e-14,9.7e-7,0.0000010299999999999999,-0.7149999714952223,-0.7149999697320392
flux_inverse_response,B1,6,0.1,true,0.00003402935721693164,,,,,5.877278219657001e-9,5.684341886080802e-14,9e-7,0.0000011,-0.7149999735522701,-0.7149999676749919
head_derivative,B1,0,1e-10,true,,-0.00003403943793500714,0.0000340394379350073,0,1.6263032587282567e-19,6.80788758700146e-15,5.929127573528846e-16,,,-0.7149999707136308,-0.7149999705136307
head_derivative,B1,1,3e-10,true,,-0.00003402833570476098,0.00003402833570476105,0,6.776263578034403e-20,2.041700142285663e-14,5.929127573528846e-16,,,-0.7149999709136308,-0.7149999703136307
head_derivative,B1,2,1e-9,true,,-0.00003402833570476105,0.00003402833570476105,0,0,6.80566714095221e-14,5.929127573528846e-16,,,-0.7149999716136307,-0.7149999696136308
head_derivative,B1,3,3e-9,true,,-0.000034029075853444134,0.000034029075853444134,0,0,2.0417445512066478e-13,5.929127573528846e-16,,,-0.7149999736136308,-0.7149999676136307
head_derivative,B1,4,1e-8,true,,-0.000034029445927785666,0.00003402944592778567,0,6.776263578034403e-21,6.805889185557134e-13,5.929127573528846e-16,,,-0.7149999806136308,-0.7149999606136307
head_derivative,B1,5,3e-8,true,,-0.00003402940892035153,0.00003402940892035153,0,0,2.0417645352210913e-12,5.929127573528846e-16,,,-0.7150000006136308,-0.7149999406136307
head_derivative,B1,6,1e-7,true,,-0.000034029346007713464,0.000034029346007713464,0,0,6.805869201542692e-12,5.929127573528846e-16,,,-0.7150000706136307,-0.7149998706136308
head_derivative,B1,7,3e-7,true,,-0.00003402936081068712,0.000034029360810687116,-2.0194839173657902e-21,-6.776263578034403e-21,2.0417616486412272e-11,5.929127573528846e-16,,,-0.7150002706136307,-0.7149996706136308
head_derivative,B1,8,0.000001,true,,-0.00003402935933038976,0.00003402935933038975,0,-6.776263578034403e-21,6.805871866077951e-11,5.929127573528846e-16,,,-0.7150009706136308,-0.7149989706136307
head_derivative,B1,9,0.000003,true,,-0.00003402936007053844,0.00003402936007053844,0,0,2.0417616042323065e-10,5.929127573528846e-16,,,-0.7150029706136307,-0.7149969706136308
head_derivative,B1,10,0.00001,false,,,,,,0,5.929127573528846e-16,,,-0.7150099706136307,-0.7149899706136308
flux_inverse_response,B2,0,0.0001,true,0.0002686030165279994,,,,,7.445932759253537e-12,5.684341886080802e-14,9.999e-7,0.0000010001,-0.7149999628420658,-0.7149999628346199
flux_inverse_response,B2,1,0.0003,true,0.0002686070215829681,,,,,2.2337465210853225e-11,5.684341886080802e-14,9.997e-7,0.0000010003,-0.7149999628495115,-0.714999962827174
flux_inverse_response,B2,2,0.001,true,0.00026861142728135627,,,,,7.445699612418366e-11,5.684341886080802e-14,9.989999999999999e-7,0.0000010009999999999998,-0.7149999628755707,-0.7149999628011137
flux_inverse_response,B2,3,0.003,true,0.0002686108932496084,,,,,2.2337143246176083e-10,5.684341886080802e-14,9.97e-7,0.0000010029999999999998,-0.714999962950028,-0.7149999627266566
flux_inverse_response,B2,4,0.01,true,0.00026861062623453647,,,,,7.445721816878859e-10,5.684341886080802e-14,9.9e-7,0.0000010099999999999999,-0.7149999632106284,-0.7149999624660562
flux_inverse_response,B2,5,0.03,true,0.0002686106662867661,,,,,2.23371621199675e-9,5.684341886080802e-14,9.7e-7,0.0000010299999999999999,-0.7149999639552005,-0.7149999617214843
flux_inverse_response,B2,6,0.1,true,0.0002686106222293171,,,,,7.445721927901161e-9,5.684341886080802e-14,9e-7,0.0000011,-0.7149999665612033,-0.7149999591154814
head_derivative,B2,0,1e-10,true,,-0.000268607358577813,0.0002686073585778104,0,-2.6020852139652106e-18,5.372147171556259e-14,5.929127573528846e-16,,,-0.7149999629383428,-0.7149999627383428
head_derivative,B2,1,3e-10,true,,-0.00026861105932122375,0.0002686110593212258,0,2.0599841277224584e-18,1.6116663559273548e-13,5.929127573528846e-16,,,-0.7149999631383428,-0.7149999625383427
head_derivative,B2,2,1e-9,true,,-0.0002686095790238594,0.0002686095790238596,0,2.168404344971009e-19,5.372191580477193e-13,5.929127573528846e-16,,,-0.7149999638383427,-0.7149999618383428
