SY,DTC,NINT_1_64,NINT_1_128,PRED_HEAD_ERROR_REF_CM,PC1_HEAD_ERROR_REF_CM,PC1_FINE_INTERNAL_HEAD_ERROR_REF_CM,INTERNAL_1_64_TO_1_128_HEAD_DELTA_CM,FINE_TOTAL_TO_INTERNAL_DELTA_RATIO,PRED_PC1_HEAD_CORRECTION_CM,PC1_ERROR_OVER_PRED_PC1_CORRECTION,PRED_ERROR_OVER_PRED_PC1_CORRECTION,CORRECTOR_CONTRACTION_R1_OVER_R0,PC1_FINE_INTERNAL_FLUX_ERROR_REF_CM,INTERNAL_1_64_TO_1_128_FLUX_DELTA_CM,PRED_TRIALS,PC1_TRIALS,PRED_LINEAR,PC1_LINEAR,PC1_FINE_LINEAR
0.2,0.5,32,64,0.0023983062219343765,0.00017174435745914707,0.00017175077918807347,6.421728926397918e-09,26745.255235245822,0.0025700505793935235,0.06682528306492513,0.9331747169350748,0.011693501943877823,3.435015584039858e-05,1.284343700835855e-09,2,4,112,261,508
0.2,0.25,16,32,0.0011312032504378067,0.0001544744217767402,0.00015540428388760574,9.298621108655425e-07,167.12615996682663,0.0012856776722145469,0.12015019403009618,0.8798498059699038,0.011677836303415474,3.108085678008021e-05,1.8597242476547926e-07,4,8,154,302,582
0.2,0.125,8,16,0.0005186782080670582,0.00012404716652270054,0.0001301324591906905,6.085292667989961e-06,21.38474947560323,0.0006427253745897588,0.1930018191702449,0.806998180829755,0.011260680964378166,2.6026491843952893e-05,1.217058535299409e-06,8,16,176,340,645
0.2,0.0625,4,8,0.00024625097506714155,7.463640002924876e-05,8.55399673582724e-05,1.0903567329023645e-05,7.845135887828011,0.0003208873750963903,0.2325937566313694,0.7674062433686306,0.009657426507999516,1.710799346960057e-05,2.18071345958748e-06,16,32,184,376,752
0.2,0.03125,2,4,0.0001290433305314309,3.101538160876771e-05,4.444846545936798e-05,1.343308385060027e-05,3.3088802209316786,0.00016005871214019862,0.19377502913806227,0.8062249708619377,0.007217064025686307,8.8896930961202e-06,2.6866167741612657e-06,32,64,188,380,760
0.05,0.5,32,64,0.036040692933752894,0.003992607575085572,0.003992692668987274,8.509390170274855e-08,46921.02006245542,0.040033300508838465,0.09973216108434757,0.9002678389156524,0.04710679673780283,0.0001996346334521698,4.2546949852173555e-09,2,4,117,278,534
0.05,0.25,16,32,0.01706739821078429,0.0030147038685441885,0.0030283256790824,1.362181053821132e-05,222.31447652185955,0.02008210207932848,0.1501189395729332,0.8498810604270668,0.04710216433945593,0.0001514162839574701,6.810905276155577e-07,4,8,160,334,649
0.05,0.125,8,16,0.007834626160786229,0.002197685116499315,0.0022908033218556056,9.311820535629067e-05,24.60102525698911,0.010032311277285544,0.21906069855260168,0.7809393014473983,0.04552933364922309,0.00011454016609729889,4.6559102692272925e-06,8,16,176,329,660
0.05,0.0625,4,8,0.0037189671021877757,0.0012663771200465135,0.0014341293147452916,0.0001677521946987781,8.549094200051844,0.004985344222234289,0.2540199961315729,0.7459800038684271,0.03899773260191996,7.170646574057582e-05,8.387609734539225e-06,16,32,184,376,752
0.05,0.03125,2,4,0.001947657945081005,0.0005202925038929607,0.000725352726277606,0.00020506022238464539,3.5372668469900157,0.0024679504489739656,0.21081967188979378,0.7891803281102062,0.028994255187274543,3.6267636316852925e-05,1.025301111834409e-05,32,64,188,380,760
