SY,DTC,NINT,SCHEME,FINAL_H_CM,CUM_QSWAP_CM,MAX_HEAD_RES_CM,MAX_SWAP_MASS_CM,INTERFACE_MASS_CM,TRIALS,NONLINEAR,LINEAR,JAC,RETRIES,R0_CM,R1_CM,R2_CM,R3_CM,R4_CM
0.2,0.0078125,1,PC4,-99.56030005914292,0.08793998817142014,4.121147867408581e-13,3.257116798494053e-14,0.0,640,1918,1918,1918,0,0.003474172335955927,1.137849670840296e-05,3.746519894320954e-08,1.23534960039251e-10,4.121147867408581e-13
0.2,0.5,32,PRED,-99.55790175292098,0.08841964941580181,0.2223470295013215,1.360023205165817e-14,0.0,2,112,112,112,0,0.2223470295013215,0.0,0.0,0.0,0.0
0.2,0.25,16,PRED,-99.55916885589248,0.08816622882150578,0.1111735147506607,1.178224184883447e-14,0.0,4,154,154,154,0,0.1111735147506607,0.0,0.0,0.0,0.0
0.2,0.125,8,PRED,-99.55978138093485,0.08804372381303037,0.05558675737532326,7.119305145408816e-15,0.0,8,176,176,176,0,0.05558675737532326,0.0,0.0,0.0,0.0
0.2,0.0625,4,PRED,-99.56005380816785,0.08798923836643009,0.02779337868766163,1.265654248072678e-14,0.0,16,184,184,184,0,0.02779337868766163,0.0,0.0,0.0,0.0
0.2,0.03125,2,PRED,-99.56017101581239,0.08796579683753146,0.01389668934383792,1.054711873393899e-14,0.0,32,188,188,188,0,0.01389668934383792,0.0,0.0,0.0,0.0
0.2,0.5,32,PC1,-99.56047180350038,0.08790563929992344,0.002600369961442084,1.706967900361178e-14,0.0,4,261,261,261,0,0.22237734888337,0.002600369961442084,0.0,0.0,0.0
0.2,0.25,16,PC1,-99.5604545335647,0.08790909328706482,0.001298416603546571,1.675048988403205e-14,0.0,8,302,302,302,0,0.1111864021562639,0.001298416603546571,0.0,0.0,0.0
0.2,0.125,8,PC1,-99.56042410630944,0.08791517873811149,0.0006259447406478102,1.605660049364133e-14,0.0,16,340,340,340,0,0.05558675737532326,0.0006259447406478102,0.0,0.0,0.0
0.2,0.0625,4,PC1,-99.56037469554295,0.08792506089141013,0.0002684125120850922,1.297573160030652e-14,0.0,32,376,376,376,0,0.02779337868766163,0.0002684125120850922,0.0,0.0,0.0
0.2,0.03125,2,PC1,-99.56033107452453,0.08793378509509818,0.0001002932967395509,1.637578961322106e-14,0.0,64,380,380,380,0,0.01389668934383792,0.0001002932967395509,0.0,0.0,0.0
0.2,0.25,16,PC4,-99.56043951383333,0.08791209723333411,2.07005257379933e-09,1.39194211712379e-14,0.0,20,848,848,848,0,0.1111735147506607,0.001298239961101899,1.51669436974089e-05,1.77189946271028e-07,2.07005257379933e-09
0.2,0.25,1,PC1,-99.56035822610454,0.08792835477909153,0.001208671351122348,1.262878690511116e-15,0.0,8,22,22,22,0,0.1111735147506607,0.001208671351122348,0.0,0.0,0.0
0.2,0.25,2,PC1,-99.56041864428391,0.08791627114321574,0.001263105732562053,1.471045507628332e-15,0.0,8,44,44,44,0,0.1111735147506607,0.001263105732562053,0.0,0.0,0.0
0.2,0.25,4,PC1,-99.56044342092797,0.08791131581440478,0.001287215700415345,3.802513859341161e-15,0.0,8,79,79,79,0,0.1111751714597062,0.001287215700415345,0.0,0.0,0.0
0.2,0.25,8,PC1,-99.56045183122947,0.08790963375410475,0.001295670038487629,7.077671781985373e-15,0.0,8,155,155,155,0,0.1111836451860029,0.001295670038487629,0.0,0.0,0.0
0.2,0.25,32,PC1,-99.5604554634268,0.08790890731464006,0.001299365103903938,2.833844270355712e-14,0.0,8,582,582,582,0,0.1111873555400251,0.001299365103903938,0.0,0.0,0.0
